run,sample_idx,topology_perturb,sample_type,solve_time,converged
1,2258,n,raw,0.003268003463745117,true
1,2287,n,raw,0.0032389163970947266,true
1,2312,n,raw,0.003426074981689453,true
1,2329,n,raw,0.0032498836517333984,true
1,2346,n,raw,0.0032629966735839844,true
1,2422,n,raw,0.0032460689544677734,true
1,2444,n,raw,0.0034780502319335938,true
1,2486,n,raw,0.003859996795654297,true
1,2500,n,raw,0.0033071041107177734,true
1,2524,n,raw,0.0035049915313720703,true
1,2539,n,raw,0.003303050994873047,true
1,2591,n,raw,0.0035238265991210938,true
1,2624,n,raw,0.0036399364471435547,true
1,2638,n,raw,0.0033159255981445312,true
1,2644,n,raw,0.0039119720458984375,true
1,2659,n,raw,0.0033478736877441406,true
1,2693,n,raw,0.0033111572265625,true
1,2694,n,raw,0.0033359527587890625,true
1,2701,n,raw,0.003484964370727539,true
1,2783,n,raw,0.0033140182495117188,true
1,2842,n,raw,0.0033431053161621094,true
1,2848,n,raw,0.003342866897583008,true
1,2892,n,raw,0.0033371448516845703,true
1,2908,n,raw,0.0033769607543945312,true
1,2936,n,raw,0.0033540725708007812,true
1,3043,n,raw,0.00333404541015625,true
1,3065,n,raw,0.0034911632537841797,true
1,3069,n,raw,0.0040531158447265625,true
1,3086,n,raw,0.0033528804779052734,true
1,3207,n,raw,0.003384113311767578,true
1,3234,n,raw,0.04864215850830078,true
1,3251,n,raw,0.0038039684295654297,true
1,3449,n,raw,0.0032939910888671875,true
1,3477,n,raw,0.003814220428466797,true
1,3483,n,raw,0.0038449764251708984,true
1,3519,n,raw,0.0032498836517333984,true
1,3546,n,raw,0.0032510757446289062,true
1,3550,n,raw,0.0032491683959960938,true
1,3566,n,raw,0.0038118362426757812,true
1,3637,n,raw,0.0032639503479003906,true
1,3670,n,raw,0.0032570362091064453,true
1,3705,n,raw,0.0032880306243896484,true
1,3715,n,raw,0.003259897232055664,true
1,3721,n,raw,0.003245115280151367,true
1,3734,n,raw,0.0035598278045654297,true
1,3757,n,raw,0.003275156021118164,true
1,3759,n,raw,0.0032939910888671875,true
1,3779,n,raw,0.0032498836517333984,true
1,3796,n,raw,0.0038018226623535156,true
1,3823,n,raw,0.0038127899169921875,true
1,3856,n,raw,0.0032830238342285156,true
1,3866,n,raw,0.003278017044067383,true
1,3870,n,raw,0.0033178329467773438,true
1,3875,n,raw,0.003818035125732422,true
1,3899,n,raw,0.0032949447631835938,true
1,3904,n,raw,0.003464937210083008,true
1,3911,n,raw,0.0032808780670166016,true
1,3925,n,raw,0.003278017044067383,true
1,3980,n,raw,0.003957986831665039,true
1,3983,n,raw,0.0032529830932617188,true
1,4013,n,raw,0.003802061080932617,true
1,4051,n,raw,0.0032720565795898438,true
1,4105,n,raw,0.003428936004638672,true
1,4114,n,raw,0.0032770633697509766,true
1,4147,n,raw,0.003267049789428711,true
1,4169,n,raw,0.003520965576171875,true
1,4192,n,raw,0.003239154815673828,true
1,4228,n,raw,0.0035181045532226562,true
1,4246,n,raw,0.0033669471740722656,true
1,4275,n,raw,0.003451108932495117,true
1,4320,n,raw,0.0032892227172851562,true
1,4324,n,raw,0.003950834274291992,true
1,4350,n,raw,0.008402109146118164,true
1,4400,n,raw,0.003854990005493164,true
1,4457,n,raw,0.0034568309783935547,true
1,4480,n,raw,0.003320932388305664,true
1,4489,n,raw,0.003387928009033203,true
1,4507,n,raw,0.003962039947509766,true
1,4519,n,raw,0.004004955291748047,true
1,4521,n,raw,0.004111051559448242,true
1,4532,n,raw,0.5218558311462402,false
1,4553,n,raw,0.0033130645751953125,true
1,4575,n,raw,0.008408069610595703,true
1,4576,n,raw,0.0084381103515625,true
1,4588,n,raw,0.008553028106689453,true
1,4614,n,raw,0.008598804473876953,true
1,4642,n,raw,0.005108833312988281,true
1,4655,n,raw,0.0049190521240234375,true
1,4656,n,raw,0.004203081130981445,true
1,4671,n,raw,0.0036962032318115234,true
1,4683,n,raw,0.0033969879150390625,true
1,4684,n,raw,0.003348112106323242,true
1,4699,n,raw,0.0033669471740722656,true
1,4745,n,raw,0.003506898880004883,true
1,4748,n,raw,0.0033500194549560547,true
1,4765,n,raw,0.0033440589904785156,true
1,4798,n,raw,0.0032608509063720703,true
1,4806,n,raw,0.0032820701599121094,true
1,4827,n,raw,0.003426074981689453,true
1,4841,n,raw,0.003815889358520508,true
1,4853,n,raw,0.0032248497009277344,true
1,4856,n,raw,0.0032329559326171875,true
1,4866,n,raw,0.007901191711425781,true
1,4872,n,raw,0.008334875106811523,true
1,4878,n,raw,0.0036911964416503906,true
1,4887,n,raw,0.0033910274505615234,true
1,4895,n,raw,0.0032939910888671875,true
1,4896,n,raw,0.0032629966735839844,true
1,4910,n,raw,0.0032651424407958984,true
1,4950,n,raw,0.0033881664276123047,true
1,4979,n,raw,0.003225088119506836,true
1,4980,n,raw,0.003264904022216797,true
1,5005,n,raw,0.003247976303100586,true
1,5052,n,raw,0.0038030147552490234,true
1,5146,n,raw,0.0038580894470214844,true
1,5148,n,raw,0.0033559799194335938,true
1,5164,n,raw,0.003253936767578125,true
1,5208,n,raw,0.003242015838623047,true
1,5232,n,raw,0.008316993713378906,true
1,5252,n,raw,0.0035600662231445312,true
1,5343,n,raw,0.0035400390625,true
1,5352,n,raw,0.003412961959838867,true
1,5359,n,raw,0.0033850669860839844,true
1,5394,n,raw,0.5223078727722168,false
1,5404,n,raw,0.6214120388031006,false
1,5407,n,raw,0.008391141891479492,true
1,5411,n,raw,0.008407115936279297,true
1,5424,n,raw,0.008358001708984375,true
1,5452,n,raw,0.008362054824829102,true
1,5481,n,raw,0.0043299198150634766,true
1,5529,n,raw,0.0042569637298583984,true
1,5558,n,raw,0.00333404541015625,true
1,5560,n,raw,0.0032520294189453125,true
1,5570,n,raw,0.0034160614013671875,true
1,5628,n,raw,0.8940839767456055,false
1,5641,n,raw,0.003262042999267578,true
1,5721,n,raw,0.0032470226287841797,true
1,5731,n,raw,0.003219127655029297,true
1,5742,n,raw,0.5887730121612549,false
1,5783,n,raw,0.003278970718383789,true
1,5805,n,raw,0.008341073989868164,true
1,5815,n,raw,0.008380889892578125,true
1,5849,n,raw,0.0037119388580322266,true
1,5912,n,raw,0.0036928653717041016,true
1,5981,n,raw,0.003574848175048828,true
1,5984,n,raw,0.0032689571380615234,true
1,5993,n,raw,0.0032410621643066406,true
1,6008,n,raw,0.0032529830932617188,true
1,6009,n,raw,0.003325939178466797,true
1,6021,n,raw,0.5477099418640137,false
1,6039,n,raw,0.003239870071411133,true
1,6074,n,raw,0.0032019615173339844,true
1,6119,n,raw,0.0037689208984375,true
1,6146,n,raw,0.003228902816772461,true
1,6180,n,raw,0.0032269954681396484,true
1,6203,n,raw,0.0032269954681396484,true
1,6221,n,raw,0.0032300949096679688,true
1,6234,n,raw,0.0038008689880371094,true
1,6265,n,raw,0.0032508373260498047,true
1,6290,n,raw,0.0032300949096679688,true
1,6306,n,raw,0.0032410621643066406,true
1,6353,n,raw,0.004324913024902344,true
1,6358,n,raw,0.003551959991455078,true
1,6509,n,raw,0.0032210350036621094,true
1,6513,n,raw,0.003216981887817383,true
1,6649,n,raw,0.003818035125732422,true
1,6690,n,raw,0.003240823745727539,true
1,6691,n,raw,0.0032351016998291016,true
1,6704,n,raw,0.003240823745727539,true
1,6713,n,raw,0.0033261775970458984,true
1,6731,n,raw,0.0032608509063720703,true
1,6810,n,raw,0.003248929977416992,true
1,6811,n,raw,0.0032930374145507812,true
1,6815,n,raw,0.003445863723754883,true
1,6857,n,raw,0.003268003463745117,true
1,6877,n,raw,0.0034189224243164062,true
1,6941,n,raw,0.0032520294189453125,true
1,7001,n,raw,0.0032989978790283203,true
1,7020,n,raw,0.0032570362091064453,true
1,7031,n,raw,0.0032460689544677734,true
1,7033,n,raw,0.0032792091369628906,true
1,7049,n,raw,0.0035178661346435547,true
1,7054,n,raw,0.003451108932495117,true
1,7093,n,raw,0.0034630298614501953,true
1,7137,n,raw,0.0033261775970458984,true
1,7157,n,raw,0.003373861312866211,true
1,7182,n,raw,0.0040628910064697266,true
1,7224,n,raw,0.004065036773681641,true
1,7227,n,raw,0.8859238624572754,false
1,7241,n,raw,0.0032701492309570312,true
1,7260,n,raw,0.0032329559326171875,true
1,7264,n,raw,0.0032198429107666016,true
1,7265,n,raw,0.0032019615173339844,true
1,7270,n,raw,0.003239870071411133,true
1,7288,n,raw,0.0032320022583007812,true
1,7313,n,raw,0.003242015838623047,true
1,7316,n,raw,0.0033240318298339844,true
1,7331,n,raw,0.0032460689544677734,true
1,7345,n,raw,0.003245115280151367,true
1,7398,n,raw,0.0032231807708740234,true
1,7464,n,raw,0.0032579898834228516,true
1,7481,n,raw,0.003244161605834961,true
1,7508,n,raw,0.003242015838623047,true
1,7521,n,raw,0.0038030147552490234,true
1,7529,n,raw,0.0032570362091064453,true
1,7544,n,raw,0.003253936767578125,true
1,7557,n,raw,0.0034279823303222656,true
1,7558,n,raw,0.0038030147552490234,true
1,7619,n,raw,0.003931999206542969,true
1,7637,n,raw,0.004553079605102539,true
1,7722,n,raw,0.003264904022216797,true
1,7823,n,raw,0.0032579898834228516,true
1,7835,n,raw,0.0034208297729492188,true
1,7838,n,raw,0.0038230419158935547,true
1,7863,n,raw,0.0032761096954345703,true
1,7991,n,raw,0.005507946014404297,true
1,8061,n,raw,0.007637977600097656,true
1,8087,n,raw,0.008910894393920898,true
1,8104,n,raw,0.004282951354980469,true
1,8123,n,raw,0.0043010711669921875,true
1,8143,n,raw,0.003738880157470703,true
1,8145,n,raw,0.003292083740234375,true
1,8147,n,raw,0.0032269954681396484,true
1,8165,n,raw,0.0032320022583007812,true
1,8230,n,raw,0.003220796585083008,true
1,8255,n,raw,0.00323486328125,true
1,8292,n,raw,0.0037529468536376953,true
1,8301,n,raw,0.0032160282135009766,true
1,8309,n,raw,0.0032279491424560547,true
1,8313,n,raw,0.003368854522705078,true
