topo,run,sample_idx,sample_type,pbl_mean,pbl_max
n,1,3483,raw,9.531386240269057e-07,9.531386240269057e-07
n,1,3519,raw,1.1241043011978036e-06,1.1241043011978036e-06
n,1,3546,raw,1.2647983567148913e-06,1.2647983567148913e-06
n,1,3550,raw,9.126846407525591e-07,9.126846407525591e-07
n,1,3566,raw,1.0793174851642107e-06,1.0793174851642107e-06
n,1,3566,nose,1.4881184142723214e-06,1.4881184142723214e-06
n,1,3637,raw,1.1844209666378447e-06,1.1844209666378447e-06
n,1,3670,raw,9.90677335721557e-07,9.90677335721557e-07
n,1,3705,raw,9.315726288150472e-07,9.315726288150472e-07
n,1,3715,raw,1.1070533219026402e-06,1.1070533219026402e-06
n,1,3721,raw,9.628290627006209e-07,9.628290627006209e-07
n,1,3734,raw,1.083805500456947e-06,1.083805500456947e-06
n,1,3757,raw,1.0217027011094615e-06,1.0217027011094615e-06
n,1,3757,nose,1.0719502370193368e-06,1.0719502370193368e-06
n,1,3759,raw,1.0167950676986948e-06,1.0167950676986948e-06
n,1,3779,raw,9.47708258536295e-07,9.47708258536295e-07
n,1,3796,raw,1.0431134569444112e-06,1.0431134569444112e-06
n,1,3823,raw,9.967811820388306e-07,9.967811820388306e-07
n,1,3856,raw,1.0103090062330011e-06,1.0103090062330011e-06
n,1,3866,raw,8.913282840694592e-07,8.913282840694592e-07
n,1,3866,nose,1.2847260677517625e-06,1.2847260677517625e-06
n,1,3870,raw,9.89288878372463e-07,9.89288878372463e-07
n,1,3875,raw,9.222703738487326e-07,9.222703738487326e-07
n,1,3875,nose,1.3674746242031688e-06,1.3674746242031688e-06
n,1,3899,raw,1.1231084044993622e-06,1.1231084044993622e-06
n,1,3899,nose,1.1072052075178362e-06,1.1072052075178362e-06
n,1,3904,raw,8.907552455639234e-07,8.907552455639234e-07
n,1,3911,raw,1.1555468972801464e-06,1.1555468972801464e-06
n,1,3925,raw,1.1122040177724557e-06,1.1122040177724557e-06
n,1,3980,raw,1.0465078048582654e-06,1.0465078048582654e-06
n,1,3983,raw,9.400263252246077e-07,9.400263252246077e-07
n,1,4013,raw,9.86396685220825e-07,9.86396685220825e-07
n,1,4051,raw,1.2305387144806446e-06,1.2305387144806446e-06
n,1,4105,raw,1.358170379717194e-06,1.358170379717194e-06
n,1,4114,raw,1.0732391046985867e-06,1.0732391046985867e-06
n,1,4147,raw,1.0138289781025378e-06,1.0138289781025378e-06
n,1,4169,raw,1.319934426646796e-06,1.319934426646796e-06
n,1,4192,raw,1.1506814416861744e-06,1.1506814416861744e-06
n,1,4228,raw,1.266262529497908e-06,1.266262529497908e-06
n,1,4246,raw,1.0731514521467034e-06,1.0731514521467034e-06
n,1,4275,raw,1.1650837450360996e-06,1.1650837450360996e-06
n,1,4320,raw,1.097309450415196e-06,1.097309450415196e-06
n,1,4324,raw,1.224887796524854e-06,1.224887796524854e-06
n,1,4350,raw,1.0000416068578488e-06,1.0000416068578488e-06
n,1,4400,raw,9.808392178456415e-07,9.808392178456415e-07
n,1,4457,raw,1.0587492624836159e-06,1.0587492624836159e-06
n,1,4480,raw,1.0909685670412728e-06,1.0909685670412728e-06
n,1,4489,raw,1.1604353176153381e-06,1.1604353176153381e-06
n,1,4507,raw,1.0040291726909345e-06,1.0040291726909345e-06
n,1,4519,raw,9.360939543512359e-07,9.360939543512359e-07
n,1,4521,raw,1.1545724873940344e-06,1.1545724873940344e-06
n,1,4553,raw,1.1103144288426847e-06,1.1103144288426847e-06
n,1,4575,raw,1.1984735692749382e-06,1.1984735692749382e-06
n,1,4576,raw,1.103612817132671e-06,1.103612817132671e-06
n,1,4588,raw,9.293995617554174e-07,9.293995617554174e-07
n,1,4614,raw,1.0246343435937888e-06,1.0246343435937888e-06
n,1,4642,raw,1.1105440762548824e-06,1.1105440762548824e-06
n,1,4655,raw,1.1814202025561826e-06,1.1814202025561826e-06
n,1,4656,raw,1.0605110674077878e-06,1.0605110674077878e-06
n,1,4671,raw,9.204848652188957e-07,9.204848652188957e-07
n,1,4683,raw,1.0809170589709538e-06,1.0809170589709538e-06
n,1,4684,raw,8.911984537007811e-07,8.911984537007811e-07
n,1,4699,raw,1.1188413964191568e-06,1.1188413964191568e-06
n,1,4745,raw,1.0811203310368e-06,1.0811203310368e-06
n,1,4748,raw,1.1136778539366787e-06,1.1136778539366787e-06
n,1,4765,raw,1.0516722568354453e-06,1.0516722568354453e-06
n,1,4798,raw,1.0383016615378438e-06,1.0383016615378438e-06
n,1,4806,raw,8.792619041742e-07,8.792619041742e-07
n,1,4827,raw,9.362343007524032e-07,9.362343007524032e-07
n,1,4841,raw,1.0971180017804727e-06,1.0971180017804727e-06
n,1,4853,raw,1.0014837243943475e-06,1.0014837243943475e-06
n,1,4853,nose,1.5251464446919272e-06,1.5251464446919272e-06
n,1,4856,raw,8.950589744927129e-07,8.950589744927129e-07
n,1,4866,raw,9.527871611680894e-07,9.527871611680894e-07
n,1,4872,raw,9.877430784399621e-07,9.877430784399621e-07
n,1,4878,raw,9.50948788158712e-07,9.50948788158712e-07
n,1,4887,raw,8.944354021878098e-07,8.944354021878098e-07
n,1,4895,raw,1.1529891708050855e-06,1.1529891708050855e-06
n,1,4896,raw,9.517146395410236e-07,9.517146395410236e-07
n,1,4910,raw,9.97471147456963e-07,9.97471147456963e-07
n,1,4950,raw,1.0474790315129212e-06,1.0474790315129212e-06
n,1,4979,raw,9.974108934329706e-07,9.974108934329706e-07
n,1,4980,raw,1.033337298395054e-06,1.033337298395054e-06
n,1,5005,raw,1.140984181802196e-06,1.140984181802196e-06
n,1,5005,nose,1.2028758646920323e-06,1.2028758646920323e-06
n,1,5052,raw,1.0860720749406028e-06,1.0860720749406028e-06
n,1,5146,raw,1.0170570021728054e-06,1.0170570021728054e-06
n,1,5148,raw,1.0748315162345534e-06,1.0748315162345534e-06
n,1,5164,raw,1.1711160823324462e-06,1.1711160823324462e-06
n,1,5208,raw,1.1068276535297628e-06,1.1068276535297628e-06
n,1,5232,raw,1.140529661824985e-06,1.140529661824985e-06
n,1,5252,raw,9.54841880229651e-07,9.54841880229651e-07
n,1,5343,raw,1.0475845328983269e-06,1.0475845328983269e-06
n,1,5352,raw,1.0760852546809474e-06,1.0760852546809474e-06
n,1,5359,raw,1.0798413541124319e-06,1.0798413541124319e-06
n,1,5407,raw,8.932742048273212e-07,8.932742048273212e-07
n,1,5411,raw,1.0935189038718818e-06,1.0935189038718818e-06
n,1,5424,raw,9.780483196664136e-07,9.780483196664136e-07
n,1,5452,raw,1.015738916976261e-06,1.015738916976261e-06
n,1,5481,raw,1.1201731240362278e-06,1.1201731240362278e-06
n,1,5529,raw,9.764993365024566e-07,9.764993365024566e-07
n,1,5558,raw,1.1964907571382355e-06,1.1964907571382355e-06
n,1,5560,raw,1.3082109262541053e-06,1.3082109262541053e-06
n,1,5560,nose,1.181807192551787e-06,1.181807192551787e-06
n,1,5570,raw,1.1531271866260795e-06,1.1531271866260795e-06
n,1,5641,raw,1.097926087822998e-06,1.097926087822998e-06
n,1,5721,raw,1.0867025821426068e-06,1.0867025821426068e-06
n,1,5731,raw,9.763180059962906e-07,9.763180059962906e-07
n,1,5783,raw,1.012956204249349e-06,1.012956204249349e-06
n,1,5805,raw,9.964667242456926e-07,9.964667242456926e-07
n,1,5805,nose,1.4400977761397371e-06,1.4400977761397371e-06
n,1,5815,raw,1.0193633670496638e-06,1.0193633670496638e-06
n,1,5815,nose,1.1644161759249982e-06,1.1644161759249982e-06
